"Data","Dependencia Origem","Histórico","Data do Balancete","Número do documento","Valor",
"29/12/2023","","Saldo Anterior","","0","617.55",
"02/01/2024","","Resgate de Poupança","","631930085985","293495.71",
"02/01/2024","631-9","Compra com Cartão - 30/12 07:59 SUPERMERCADO TAUSTE","","157277","-159.97",
"02/01/2024","631-9","Compra com Cartão - 30/12 09:13 PAG*Bauru","","191231","-106.95",
"02/01/2024","631-9","Compra com Cartão - 30/12 09:49 SUPERMERCADO PANELAO","","217553","-40.31",
"02/01/2024","631-9","Compra com Cartão - 02/01 13:55 SUPERMERCADO PANELAO","","604480","-63.60",
"02/01/2024","631-9","Compra com Cartão - 02/01 14:19 PAG*FarmaciaDoPovo","","617283","-59.36",
"02/01/2024","","Aplicação LCA","","100020800025301","-136000.00",
"02/01/2024","","Pix - Enviado - 31/12 11:38 Alipay/aliexpress - Pix","","10201","-117.55",
"02/01/2024","","Pix - Enviado - 31/12 14:37 Pix Marketplace","","10202","-35.10",
"02/01/2024","","Pagamento de Boleto - MULT GUARD VIGILANCIA MONITORA","","10203","-42.00",
"02/01/2024","","Pix - Enviado - 02/01 17:50 Desktop Internet Ltda","","10204","-93.11",
"02/01/2024","","Pix - Enviado - 02/01 18:11 Secretaria Da Receita Fede","","10205","-71.00",
"03/01/2024","","Aplicação LCA","","100030800025181","-157000.00",
"04/01/2024","631-9","Compra com Cartão - 04/01 09:51 COMACO","","515086","-32.06",
"04/01/2024","631-9","Compra com Cartão - 04/01 10:04 NOVA ELETRO AGUDOS","","522477","-25.00",
"04/01/2024","631-9","Compra com Cartão - 04/01 17:17 RRF COMERCIO DE ALIM","","820589","-10.96",
"04/01/2024","631-9","Compra com Cartão - 04/01 17:36 PAO DA VIDA PADARIA","","834971","-7.20",
"04/01/2024","631-9","Compra com Cartão - 04/01 17:39 ICE GOOD","","836855","-22.00",
"04/01/2024","","Pix - Enviado - 04/01 16:59 Ednilson Lucio Siqueira De","","10401","-160.00",
"04/01/2024","","Pix - Enviado - 04/01 18:31 Oseis F R Fernandes","","10402","-1130.00",
"04/01/2024","","Resgate Poupança","","149","1062.91",
"05/01/2024","631-9","Compra com Cartão - 05/01 08:43 SUPERMERCADO TAUSTE","","96713","-238.12",
"05/01/2024","631-9","Compra com Cartão - 05/01 12:03 SUPERMERCADO PANELAO","","230983","-74.98",
"05/01/2024","631-9","Compra com Cartão - 05/01 16:58 RRF COMERCIO DE ALIM","","446581","-29.96",
"05/01/2024","","Pix - Enviado - 05/01 13:26 Pix Marketplace","","10501","-48.26",
"05/01/2024","","Resgate Poupança","","149","391.32",
"08/01/2024","631-9","Transferido da poupança - 07/01 06:33 DIVA LAURIS FERN","","631510085985","858.30",
"08/01/2024","631-9","Compra com Cartão - 06/01 17:41 PALADAR PASTEL","","163131","-44.00",
"08/01/2024","631-9","Compra com Cartão - 08/01 10:32 SUPERMERCADO PANELAO","","791884","-28.17",
"08/01/2024","","Pix - Enviado - 07/01 06:29 Alipay/aliexpress - Pix","","10801","-37.32",
"08/01/2024","","Pagamento de Impostos - LICENCIAMENTO SP","","10802","-160.22",
"08/01/2024","","Pagamento de Impostos - LICENCIAMENTO SP","","10803","-160.22",
"09/01/2024","631-9","Transferido da poupança - 09/01 20:03 DIVA LAURIS FERN","","631510085985","500.00",
"09/01/2024","631-9","Compra com Cartão - 09/01 10:13 RRF COMERCIO DE A","","136832","-92.11",
"09/01/2024","631-9","Compra com Cartão - 09/01 12:19 SUPERMERCADO PANELAO","","483802","-10.47",
"09/01/2024","631-9","Compra com Cartão - 09/01 15:24 COPICAL AGUDOS","","606300","-130.90",
"09/01/2024","631-9","Compra com Cartão - 09/01 15:45 GUSTAVO SANDRI ISMAN","","620868","-62.48",
"09/01/2024","","Pix - Enviado - 09/01 20:00 Alipay/aliexpress - Pix","","10901","-39.33",
"09/01/2024","","Pagto Energia Elétrica - CPFL CIA PAULISTA DE FORC","","40215","-269.56",
"10/01/2024","631-9","Transferido da poupança - 10/01 17:18 DIVA LAURIS FERN","","631510085985","1000.00",
"10/01/2024","631-9","Compra com Cartão - 10/01 12:43 COMACO","","131730","-9.84",
"10/01/2024","631-9","Compra com Cartão - 10/01 14:53 PONTO DO QUEIJO","","215702","-29.98",
"10/01/2024","631-9","Compra com Cartão - 10/01 20:41 AUTO POSTO ESMERALDA","","427229","-9.90",
"10/01/2024","","Pix - Enviado - 10/01 14:02 Luis Claudio Simao","","11001","-307.00",
"10/01/2024","","Pix - Enviado - 10/01 17:17 OSEIS F R FERNANDES","","11002","-500.00",
"11/01/2024","37-X","Transferência recebida - 11/01 10:36 IDENTICA CORR DE SEG LTD","","550037000115555","732.10",
"11/01/2024","37-X","Transferência recebida - 11/01 10:37 IDENTICA CORR DE SEG LTD","","550037000115555","329.44",
"11/01/2024","631-9","Compra com Cartão - 11/01 11:50 SUPERMERCADO PANELAO","","616785","-33.75",
"11/01/2024","","Pix - Enviado - 11/01 07:30 Pix Marketplace","","11101","-248.02",
"11/01/2024","","Pagamento Fatura de Água - SABESP","","43956","-109.30",
"12/01/2024","631-9","Compra com Cartão - 12/01 09:42 AUTO POSTO CONDI GAR","","144152","-222.18",
"15/01/2024","631-9","Compra com Cartão - 15/01 16:15 RODOSERVSTAR","","29523","-105.70",
"15/01/2024","631-9","Compra com Cartão - 13/01 19:04 PALADAR PASTEL","","182289","-66.00",
"15/01/2024","631-9","Estorno de Débito","","733056","123.60",
