"Data","Dependencia Origem","Histórico","Data do Balancete","Número do documento","Valor",
"29/02/2024","","Saldo Anterior","","0","1393.08",
"01/03/2024","631-9","Transferido da poupança - 01/03 08:56 DIVA LAURIS FERN","","631510085985","1000.00",
"01/03/2024","631-9","Transferido da poupança - 01/03 09:09 DIVA LAURIS FERN","","631510085985","3000.00",
"01/03/2024","631-9","Compra com Cartão - 01/03 09:16 RRF COMERCIO DE A","","133413","-40.46",
"01/03/2024","631-9","Compra com Cartão - 01/03 10:57 PONTO DO QUEIJO","","517533","-14.99",
"01/03/2024","631-9","Compra com Cartão - 01/03 16:03 AUTO POSTO ESMERALDA","","730848","-8.30",
"01/03/2024","631-9","Compra com Cartão - 01/03 16:15 SUPERMERCADO PANELAO","","739678","-10.60",
"01/03/2024","631-9","Transferência enviada - 01/03 09:08 RICARDO LAURIS FERNANDES","","520631000045500","-3293.25",
"01/03/2024","631-9","Transferido para Poupança - 01/03 08:58 RICARDO LAURIS FERNANDES","","520631510032000","-265.38",
"01/03/2024","631-9","Aplicação Poupança - 01/03 08:57 Mãe","","520631820085985","-530.77",
"01/03/2024","631-9","Aplicação Poupança - 01/03 08:57 FLORA","","520631830085985","-265.38",
"01/03/2024","","Pagamento Receita Federal","","3128850","-75.60",
"01/03/2024","","Pagamento de Boleto - MULT GUARD VIGILANCIA MONITORA","","30101","-42.00",
"01/03/2024","","Pagamento de Boleto - DESKTOP INTERNET LTDA","","30102","-93.11",
"01/03/2024","","Cobrança de Juros","","511058923","-0.50",
"01/03/2024","","Cobrança de I.O.F.","","391100701","-0.75",
"04/03/2024","631-9","Transferido da poupança - 04/03 15:21 DIVA LAURIS FERN","","631510085985","500.00",
"04/03/2024","631-9","Compra com Cartão - 02/03 08:41 DROGARIA POPULAR","","131276","-12.85",
"04/03/2024","631-9","Compra com Cartão - 02/03 10:08 AUTO POSTO CONDI GAR","","153933","-173.26",
"04/03/2024","631-9","Compra com Cartão - 04/03 10:48 NATUREPHARMA","","197579","-123.70",
"04/03/2024","631-9","Compra com Cartão - 04/03 11:02 SUPERMERCADO PANELAO","","205228","-36.67",
"04/03/2024","631-9","Compra com Cartão - 02/03 11:15 RRF COMERCIO DE ALIM","","217895","-20.77",
"04/03/2024","631-9","Compra com Cartão - 02/03 09:05 RRF COMERCIO DE A","","232706","-81.63",
"04/03/2024","","Pix - Enviado - 04/03 08:22 Claudia Yurie Matsumoto","","30401","-141.34",
"04/03/2024","","Pix - Enviado - 04/03 15:19 NEUSA MARIA MARANZATTO FR","","30402","-80.00",
"04/03/2024","","Pix - Enviado - 04/03 15:20 Elaine de Paula Freitas","","30403","-120.00",
"05/03/2024","631-9","Compra com Cartão - 05/03 10:04 PG *TON TRES AGULHAS","","597960","-45.00",
"05/03/2024","631-9","Compra com Cartão - 05/03 10:38 SUPERMERCADO PANELAO","","618625","-45.52",
"05/03/2024","","Pix - Enviado - 05/03 11:10 Pix Marketplace","","30501","-88.58",
"06/03/2024","631-9","Transferido da poupança - 06/03 15:21 DIVA LAURIS FERN","","631510085985","500.00",
"06/03/2024","631-9","Compra com Cartão - 06/03 19:50 PAG*Bauru","","503062","-98.00",
"06/03/2024","631-9","Compra com Cartão - 06/03 20:30 SUPERMERCADO TAUSTE","","516128","-50.73",
"06/03/2024","","Pix - Enviado - 06/03 11:15 Luis Claudio Simao","","30601","-219.00",
"07/03/2024","631-9","Compra com Cartão - 07/03 10:27 WILMA DA SILVA GARCI","","643559","-44.79",
"07/03/2024","","Pix - Enviado - 07/03 16:18 Alipay/aliexpress - Pix","","30701","-118.65",
"08/03/2024","37-X","Transferência recebida - 08/03 10:43 IDENTICA CORR DE SEG LTD","","550037000115555","732.10",
"08/03/2024","631-9","Compra com Cartão - 08/03 10:18 ADRIANO","","270224","-200.00",
"08/03/2024","631-9","Compra com Cartão - 08/03 10:59 SUPERMERCADO TAUSTE","","299883","-257.52",
"08/03/2024","","Pix - Enviado - 08/03 15:08 Paulo Roberto Tavares Zana","","30801","-395.00",
"11/03/2024","631-9","Transferido da poupança - 11/03 22:00 DIVA LAURIS FERN","","631510085985","700.00",
"11/03/2024","631-9","Compra com Cartão - 11/03 15:18 PAG*FarmaciaDoPovo","","155082","-128.40",
"11/03/2024","631-9","Compra com Cartão - 09/03 16:26 MERCADO BOM PRECO","","249140","-16.17",
"11/03/2024","631-9","Compra com Cartão - 11/03 15:29 SUPERMERCADO PANELAO","","255748","-24.87",
"11/03/2024","631-9","Compra com Cartão - 10/03 13:49 SUPERMERCADO PANELAO","","636120","-45.12",
"11/03/2024","","Pix - Enviado - 11/03 21:58 Pix Marketplace","","31101","-64.41",
"11/03/2024","","Pagto Energia Elétrica - CPFL CIA PAULISTA DE FORC","","40215","-239.20",
"12/03/2024","8337-2","Saque no TAA - 12/03 15:17 PSO BAURU","","121517525929447","-300.00",
"12/03/2024","","Pagamento Fatura de Água - SABESP","","43956","-82.48",
"12/03/2024","","Resgate Poupança","","149","69.57",
"13/03/2024","631-9","Transferido da poupança - 13/03 07:21 DIVA LAURIS FERN","","631510085985","300.00",
"13/03/2024","631-9","Compra com Cartão - 13/03 15:08 SUPERMERCADO PANELAO","","154535","-40.40",
"13/03/2024","631-9","Compra com Cartão - 13/03 15:33 PONTO DO QUEIJO","","256006","-37.68",
"13/03/2024","631-9","Compra com Cartão - 13/03 15:55 PAG*FarmaciaDoPovo","","357350","-41.55",
"14/03/2024","631-9","Compra com Cartão - 14/03 11:29 SUPERMERCADO TAUSTE","","141351","-154.01",
"14/03/2024","631-9","Compra com Cartão - 14/03 12:45 ICE GOOD","","245902","-21.00",
"15/03/2024","631-9","Transferido da poupança - 15/03 14:58 DIVA LAURIS FERN","","631510085985","500.00",
"15/03/2024","631-9","Compra com Cartão - 15/03 14:48 MERCADO BOM PRECO","","153312","-5.39",
"15/03/2024","631-9","Compra com Cartão - 15/03 17:47 POSTO 2243 BAURU EST","","264037","-190.90",
"15/03/2024","631-9","Compra com Cartão - 15/03 18:26 AUTO POSTO ESMERALDA","","366398","-7.00",
"15/03/2024","","Pagamento de Boleto - SAO PAULO TRIBUNAL DE JUSTICA","","31501","-106.08",
"18/03/2024","631-9","Transferido da poupança - 17/03 07:27 DIVA LAURIS FERN","","631510085985","500.00",
"18/03/2024","631-9","Compra com Cartão - 16/03 09:14 SUPERMERCADO PANELAO","","133292","-130.57",
"18/03/2024","631-9","Compra com Cartão - 16/03 17:59 PALADAR PASTEL","","264791","-22.00",
"18/03/2024","631-9","Compra com Cartão - 18/03 09:13 MERCEARIA E BOMBONIE","","333210","-45.00",
"18/03/2024","631-9","Compra com Cartão - 18/03 09:25 COMERCIAL MARUKAI","","633958","-39.40",
"19/03/2024","631-9","Compra com Cartão - 19/03 16:41 PAO DA VIDA PADARIA","","160063","-3.95",
"19/03/2024","","Pix - Enviado - 19/03 10:05 Alipay/aliexpress - Pix","","31901","-97.89",
"20/03/2024","","TED-Crédito em Conta - 341 7130 47424380000155 INTERNATIONAL","","34269662","8463.00",
"20/03/2024","631-9","Compra com Cartão - 20/03 11:52 MERCADO BOM PRECO","","142749","-36.00",
"20/03/2024","631-9","Compra com Cartão - 20/03 15:10 SUPERMERCADO PANELAO","","154645","-10.69",
"20/03/2024","631-9","Compra com Cartão - 20/03 15:32 PONTO DO QUEIJO","","255968","-4.02",
"20/03/2024","631-9","Transferência enviada - 20/03 15:57 RICARDO LAURIS FERNANDES","","520631000045500","-2500.00",
"20/03/2024","631-9","Aplicação Poupança - 20/03 15:59 DIVA LAURIS FERNANDES","","520631510085985","-5963.00",
"20/03/2024","631-9","Transferência enviada - 20/03 08:35 CLAUDIA YURIE MATSUMOTO","","521594000014318","-37.91",
"21/03/2024","631-9","Compra com Cartão - 21/03 11:22 PAG*Bauru","","140944","-118.00",
"21/03/2024","631-9","Compra com Cartão - 21/03 13:35 MERCADO BOM PRECO","","248949","-19.35",
"21/03/2024","631-9","Compra com Cartão - 21/03 22:33 DROGASIL2038","","381239","-130.95",
"21/03/2024","","Vivo Celular - VIVO MOVEL - SP","","40924","-52.00",
"21/03/2024","","Vivo Celular - VIVO MOVEL - SP","","40924","-52.00",
"21/03/2024","","Resgate Poupança","","149","103.74",
"22/03/2024","631-9","Transferido da poupança - 22/03 11:57 DIVA LAURIS FERN","","631510085985","268.62",
"22/03/2024","631-9","Compra com Cartão - 22/03 15:09 SUPERMERCADO PANELAO","","154575","-22.87",
"22/03/2024","631-9","Compra com Cartão - 22/03 15:23 QUITANDA GUERREIRO","","255415","-12.00",
"22/03/2024","631-9","Compra com Cartão - 22/03 22:59 PALADAR PASTEL","","382796","-40.00",
"25/03/2024","631-9","Transferido da poupança - 24/03 19:56 DIVA LAURIS FERN","","631510085985","500.00",
"25/03/2024","631-9","Compra com Cartão - 23/03 13:54 SUPERMERCADO PANELAO","","150089","-74.37",
"25/03/2024","631-9","Compra com Cartão - 23/03 18:23 PALADAR PASTEL","","266200","-22.00",
"25/03/2024","631-9","Compra com Cartão - 24/03 14:36 DROGARIA CATEDRAL","","352617","-334.35",
"25/03/2024","631-9","Compra com Cartão - 24/03 15:08 SUPERMERCADO TAUSTE","","654494","-63.88",
"25/03/2024","631-9","Compra com Cartão - 25/03 15:05 SUPERMERCADO PANELAO","","754352","-49.97",
"25/03/2024","631-9","Compra com Cartão - 25/03 15:31 PONTO DO QUEIJO","","855885","-21.83",
